no,Spot,207Pb_235U,207Pb_235U_1sigma,206Pb_238U,206Pb_238U_1sigma,207Pb_206Pb,207Pb_206Pb_1sigma,207Pb_235U_age,207Pb_235U_age_1sigma,206Pb_238U_age,206Pb_238U_age_1sigma,207Pb_206Pb_age,207Pb_206Pb_age_1sigma
0,GP0816059_1a,0.1623,0.00468,0.0239,0.00061,0.04947,0.00037,152.7,3.2,152.2,2.9,170.3,17.3
1,GP0816059_1b,0.16099,0.00447,0.02369,0.00058,0.04965,0.00035,151.6,3,150.9,2.7,178.5,16.6
2,GP0816059_1c,0.15277,0.0041,0.02271,0.00055,0.04924,0.00029,144.4,2.7,144.8,2.5,159.2,13.6
3,GP0816059_2b,0.15902,0.00417,0.02367,0.00055,0.04928,0.00029,149.8,2.7,150.8,2.5,161.1,13.9
4,GP0816059_2c,0.15637,0.004,0.02288,0.00053,0.04957,0.0003,147.5,2.8,145.8,2.4,175.1,14
5,GP0816059_3a,0.16162,0.00426,0.02393,0.00054,0.04905,0.00039,152.1,3.4,152.4,1.6,150.4,18.7
6,GP0816059_4a,0.157,0.00322,0.02307,0.00039,0.04923,0.00032,148.1,2.8,147,2.5,158.7,15.1
7,GP0816059_4b,0.15902,0.00408,0.02363,0.00055,0.0486,0.00031,149.8,3.2,150.5,1.7,128.4,15.2
8,GP0816059_5a,0.15401,0.00387,0.02244,0.00052,0.04934,0.00029,145.5,3.1,143,1.6,163.9,13.5
9,GP0816059_6a,0.15811,0.00396,0.02314,0.00052,0.04929,0.00033,149.1,3.1,147.5,1.5,161.4,15.4
10,GP0816059_6c,0.15577,0.00393,0.02292,0.00052,0.04917,0.0003,147,3.1,146.1,1.6,155.9,14.1
11,GP0816059_7a,0.16071,0.00307,0.02346,0.00038,0.04967,0.00029,151.3,2.7,149.5,2.4,179.5,13.8
12,GP0816059_8a,0.15817,0.0032,0.02308,0.00039,0.04969,0.00033,149.1,2.8,147.1,2.5,180.5,15.2
13,GP0816059_8b,0.1584,0.0034,0.02348,0.00044,0.04891,0.0003,149.3,3,149.6,2.8,143.4,14.2
14,GP0816059_10a,0.15555,0.00308,0.02296,0.00039,0.0491,0.0003,146.8,2.7,146.4,2.4,152.7,14.3
15,GP0816059_11a,0.15893,0.00381,0.02331,0.00047,0.04942,0.00041,149.8,3.3,148.6,3,167.8,19.5
16,GP0816059_11b,0.15965,0.00315,0.02349,0.00039,0.04926,0.0003,150.4,2.8,149.7,2.5,160.5,14.2
17,GP0816059_12b,0.15789,0.00426,0.0232,0.00057,0.04933,0.00034,148.9,3.7,147.8,3.6,163.7,16
18,GP0816059_14a,0.153,0.00374,0.0225,0.00049,0.0493,0.00033,144.6,3.3,143.4,3.1,162,15.4
19,GP0816059_14b,0.15712,0.00328,0.02299,0.0004,0.04955,0.00035,148.2,2.9,146.5,2.5,173.7,16.2
20,GP0816059_14c,0.15869,0.00335,0.0224,0.00038,0.05134,0.00042,149.6,2.9,142.8,2.4,256.3,18.8
21,GP0816059_16a,0.16283,0.00302,0.02392,0.00036,0.04934,0.00032,153.2,2.6,152.4,2.3,164.2,15.1
22,GP0816059_17a,0.16388,0.00296,0.02393,0.00035,0.04963,0.0003,154.1,2.6,152.5,2.2,177.7,14.1
23,GP0186059_18a,0.16258,0.00367,0.02319,0.00044,0.05084,0.00039,153,3.2,147.8,2.8,233.5,17.8
24,GP0186059_18b,0.15457,0.00357,0.02302,0.00043,0.04869,0.00044,145.9,3.1,146.7,2.7,133,21.3
25,GP0186059_6d,0.16094,0.00376,0.02393,0.00044,0.04878,0.00047,151.5,3.3,152.4,2.8,137.3,22.6
26,GP0186059_8c,0.15249,0.00339,0.02266,0.00043,0.04881,0.00038,144.1,3,144.4,2.7,138.7,18
27,GP0186059_7b,0.16279,0.00346,0.0236,0.00042,0.05003,0.00037,153.1,3,150.4,2.7,196.2,17
28,GP0186059_9a,0.16002,0.00412,0.02379,0.00054,0.04878,0.00038,150.7,3.6,151.6,3.4,137.1,18.1
29,GP0186059_9b,0.15345,0.004,0.02285,0.00052,0.04871,0.00042,145,3.5,145.6,3.3,133.8,20.2
