,Spot,207Pb_235U,207Pb_235U_1sigma,206Pb_238U,206Pb_238U_1sigma,207Pb_206Pb,207Pb_206Pb_1sigma,207Pb_235U_age,207Pb_235U_age_1sigma,206Pb_238U_age,206Pb_238U_age_1sigma,207Pb_206Pb_age,207Pb_206Pb_age_1sigma
0,GP3_1a,0.18071,0.00417,0.02411,0.00047,0.05435,0.00049,168.7,3.6,153.6,2.9,385.6,20.1
1,GP3_1b,0.16608,0.00389,0.02386,0.00047,0.05047,0.00043,156.0,3.4,152.0,2.9,216.9,19.8
2,GP3_2a,0.16017,0.00340,0.02347,0.00041,0.04948,0.00039,150.8,3.0,149.6,2.6,170.9,18.5
3,GP3_2b,0.16575,0.00354,0.02302,0.00042,0.05222,0.00037,155.7,3.1,146.7,2.6,295.2,16.3
4,GP3_2c,0.18165,0.00408,0.02358,0.00046,0.05588,0.00043,169.5,3.5,150.2,2.9,447.7,17.0
5,GP3_3a,0.16279,0.00368,0.02314,0.00046,0.05103,0.00039,153.1,3.2,147.4,2.9,242.2,17.4
6,GP3_3b,0.15879,0.00337,0.02320,0.00040,0.04963,0.00041,149.6,2.9,147.9,2.5,177.8,19.2
7,GP3_5a,0.16018,0.00307,0.02368,0.00037,0.04907,0.00038,150.9,2.7,150.9,2.3,150.9,18.0
8,GP3_6a,0.16494,0.00361,0.02353,0.00044,0.05085,0.00040,155.0,3.1,149.9,2.8,233.9,18.0
9,GP3_6b,0.15550,0.00297,0.02300,0.00034,0.04901,0.00039,146.8,2.6,146.6,2.2,148.5,18.6
10,GP3_7a,0.18530,0.00395,0.02346,0.00036,0.05726,0.00061,172.6,3.4,149.5,2.3,501.7,23.1
11,GP3_7b,0.16546,0.00323,0.02329,0.00035,0.05151,0.00043,155.5,2.8,148.4,2.2,263.7,18.9
12,GP3_8a,0.16324,0.00344,0.02389,0.00044,0.04956,0.00034,153.5,3.0,152.2,2.8,174.2,15.9
13,GP3_8b,0.16437,0.00357,0.02411,0.00045,0.04945,0.00038,154.5,3.1,153.6,2.8,169.0,17.9
14,GP3_9b,0.17044,0.00362,0.02398,0.00045,0.05155,0.00036,159.8,3.1,152.8,2.8,265.4,15.9
