no,U,Th,Th/U,r75,2σ,r68,2σ,r76,2σ,T57,2σ,T86,2σ,Tcorr,2σ
Tf-1-156,34,36,1.08,0.01708,0.00194,0.00266,0.00006,0.04654,0.00517,17.19,1.94,17.13,0.41,17.22,0.41
Tf-1-157,141,183,1.30,0.01721,0.00080,0.00266,0.00004,0.04695,0.00205,17.32,0.80,17.11,0.28,17.20,0.28
Tf-1-158,42,43,1.03,0.01786,0.00166,0.00268,0.00006,0.04824,0.00436,17.97,1.66,17.29,0.38,17.34,0.39
Tf-1-159,45,49,1.09,0.01712,0.00160,0.00263,0.00006,0.04714,0.00429,17.24,1.60,16.96,0.37,17.04,0.37
Tf-1-160,51,56,1.09,0.01641,0.00145,0.00260,0.00006,0.04579,0.00393,16.52,1.45,16.73,0.35,16.82,0.36
Tf-1-164,28,25,0.90,0.02079,0.00233,0.00262,0.00007,0.05749,0.00626,20.89,2.31,16.89,0.44,16.75,0.44
Tf-1-165,39,34,0.89,0.01783,0.00177,0.00262,0.00006,0.04942,0.00477,17.94,1.77,16.84,0.39,16.88,0.39
Tf-1-166,45,49,1.09,0.01706,0.00161,0.00256,0.00006,0.04841,0.00443,17.17,1.60,16.45,0.37,16.51,0.37
Tf-1-167,40,34,0.85,0.02068,0.00181,0.00269,0.00006,0.05573,0.00471,20.79,1.80,17.33,0.39,17.22,0.39
Tf-1-168,52,54,1.04,0.01663,0.00144,0.00269,0.00006,0.04478,0.00376,16.75,1.44,17.34,0.36,17.43,0.36
Tf-1-170,57,63,1.11,0.01903,0.00140,0.00270,0.00005,0.05104,0.00362,19.14,1.40,17.41,0.35,17.41,0.35
Tf-1-171,42,36,0.85,0.02006,0.00169,0.00267,0.00005,0.05446,0.00447,20.17,1.68,17.20,0.33,17.12,0.33
Tf-1-172,119,143,1.21,0.01788,0.00086,0.00263,0.00003,0.04935,0.00230,17.99,0.86,16.91,0.22,16.95,0.22
Tf-1-173,56,63,1.12,0.01755,0.00134,0.00267,0.00004,0.04774,0.00356,17.67,1.34,17.17,0.29,17.24,0.29
Tf-1-174,37,38,1.03,0.01940,0.00181,0.00257,0.00006,0.05472,0.00497,19.51,1.81,16.55,0.36,16.47,0.36
Tf-1-175,50,56,1.13,0.01919,0.00148,0.00263,0.00005,0.05295,0.00398,19.30,1.48,16.92,0.30,16.88,0.31
Tf-1-176,61,65,1.06,0.01734,0.00126,0.00262,0.00004,0.04800,0.00341,17.46,1.26,16.87,0.28,16.93,0.28
Tf-1-177,47,52,1.09,0.01966,0.00154,0.00275,0.00005,0.05189,0.00395,19.76,1.53,17.68,0.32,17.66,0.32
Tf-1-178,45,45,1.01,0.01886,0.00159,0.00264,0.00005,0.05190,0.00425,18.98,1.58,16.97,0.32,16.95,0.32
Tf-1-181,31,32,1.05,0.01702,0.00199,0.00254,0.00006,0.04861,0.00559,17.14,1.99,16.35,0.37,16.40,0.38
Tf-1-185,39,38,0.98,0.01752,0.00169,0.00275,0.00005,0.04629,0.00438,17.64,1.69,17.67,0.34,17.76,0.34
Tf-1-186,45,45,1.02,0.01807,0.00156,0.00267,0.00005,0.04911,0.00414,18.19,1.55,17.19,0.32,17.22,0.32
Tf-1-187,52,59,1.12,0.01655,0.00135,0.00261,0.00005,0.04592,0.00367,16.67,1.35,16.83,0.29,16.92,0.30
Tf-1-188,35,36,1.02,0.01715,0.00185,0.00270,0.00006,0.04599,0.00486,17.27,1.84,17.41,0.36,17.50,0.36
Tf-1-191,47,48,1.02,0.01704,0.00146,0.00263,0.00005,0.04696,0.00393,17.16,1.46,16.94,0.31,17.03,0.31
Tf-1-192,29,26,0.89,0.01800,0.00209,0.00259,0.00006,0.05032,0.00573,18.12,2.08,16.71,0.38,16.72,0.39
Tf-1-199,29,30,1.03,0.01804,0.00210,0.00258,0.00006,0.05069,0.00579,18.16,2.10,16.62,0.38,16.63,0.39
Tf-1-202,44,46,1.04,0.01664,0.00153,0.00250,0.00005,0.04821,0.00433,16.76,1.53,16.12,0.32,16.18,0.32
Tf-1-203,44,44,1.00,0.01900,0.00159,0.00267,0.00005,0.05167,0.00422,19.11,1.59,17.17,0.32,17.15,0.33
Tf-1-204,97,103,1.06,0.01752,0.00095,0.00264,0.00004,0.04821,0.00253,17.63,0.95,16.97,0.23,17.02,0.24
