Sample,Spot_No.,Th/U,207Pb/206Pb,2s,206Pb/238U,2s,207Pb/235U,2s,Disc,238U-206Pb_age,2s,235U-207Pb_age,2s
080122I01-1,35-1,1.08,0.0499,0.0032,0.01290,0.00032,0.0887,0.0061,,82.6,2.0,86.3,5.9
080122I01-2,35-2,0.85,0.0501,0.0031,0.01280,0.00031,0.0884,0.0058,,82.0,2.0,86.0,5.7
080122I01-3,35-3,1.03,0.0551,0.0034,0.01296,0.00032,0.0985,0.0065,-5.0,83.0,2.0,95.4,6.3
080122I01-4,35-4,0.54,0.0550,0.0036,0.01310,0.00033,0.0992,0.0070,-3.9,83.9,2.1,96.1,6.8
080122I01-5,35-5,1.25,0.0502,0.0023,0.01276,0.00029,0.0884,0.0046,,81.7,1.9,86.0,4.4
080122I01-7,35-7,1.26,0.0493,0.0025,0.01258,0.00029,0.0856,0.0047,,80.6,1.9,83.4,4.6
080122I01-8,35-8,1.18,0.0534,0.0031,0.01253,0.00030,0.0923,0.0058,-2.2,80.3,1.9,89.6,5.6
080122I01-9,35-9,0.71,0.0449,0.0032,0.01302,0.00032,0.0806,0.0061,,83.4,2.1,78.7,5.9
080122I01-10,35-10,0.87,0.0497,0.0034,0.01267,0.00032,0.0868,0.0063,,81.1,2.0,84.5,6.1
080122I01-11,35-11,0.60,0.0508,0.0049,0.01269,0.00058,0.0889,0.0095,,81.3,3.7,86.4,9.3
080122I01-12,35-12,0.61,0.0459,0.0041,0.01274,0.00057,0.0806,0.0080,,81.6,3.7,78.7,7.8
080122I01-13,35-13,1.15,0.0503,0.0033,0.01267,0.00055,0.0879,0.0069,,81.1,3.6,85.5,6.7
080122I01-14,35-14,1.12,0.0506,0.0037,0.01323,0.00059,0.0922,0.0079,,84.7,3.8,89.5,7.7
080122I01-15,35-15,0.44,0.0526,0.0060,0.01295,0.00061,0.094,0.012,,83.0,3.9,91,11
080122I01-16,35-16,0.67,0.0487,0.0047,0.01275,0.00058,0.0856,0.0091,,81.7,3.7,83.4,8.8
080122I01-17,35-17,0.54,0.0479,0.0019,0.01337,0.00057,0.0883,0.0052,,85.6,3.6,85.9,5.1
080122I01-18,35-18,1.13,0.0489,0.0024,0.01281,0.00055,0.0863,0.0056,,82.1,3.5,84.1,5.4
080122I01-19,35-19,0.93,0.0499,0.0044,0.01280,0.00058,0.0880,0.0088,,82.0,3.7,85.7,8.6
080122I01-20,35-20,1.35,0.0461,0.0026,0.01264,0.00055,0.0803,0.0057,,81.0,3.5,78.4,5.6
