Sample,U,Pb,Th,Th/U,207Pb/235U,1σ,206Pb/238U,1σ,207Pb/206Pb,1σ,207Pb/235U,1σ,206Pb/238U,1σ,207Pb/206Pb,1σ,Concordance
KLR-6A.1,338,181,47,0.14,11.8583,0.1692,0.5051,0.005,0.1703,0.0022,2593,37,2636,26,2560,22,97
KLR-6A.2,163,96,132,0.81,11.2527,0.1603,0.4667,0.0045,0.1749,0.0023,2544,36,2469,24,2605,22,95
KLR-6A.3,508,263,169,0.33,10.7758,0.1551,0.4452,0.0045,0.1756,0.0023,2504,36,2374,24,2612,22,90
KLR-6A.4,624,237,60,0.1,8.4312,0.1188,0.351,0.0034,0.1743,0.0023,2279,32,1939,19,2599,22,66
KLR-6A.5,283,109,93,0.33,7.8067,0.1187,0.3275,0.0037,0.1729,0.0022,2209,34,1826,20,2586,22,58
KLR-6A.6,299,128,68,0.23,9.2131,0.1301,0.3792,0.0037,0.1763,0.0023,2359,33,2072,20,2618,22,74
KLR-6A.7,323,218,264,0.82,13.2513,0.1904,0.5169,0.0052,0.186,0.0024,2698,39,2686,27,2707,21,99
KLR-6A.8,232,118,83,0.36,10.5138,0.1557,0.4448,0.0048,0.1715,0.0022,2481,37,2372,26,2573,22,92
KLR-6A.9,531,285,189,0.36,11.2402,0.1613,0.4609,0.0046,0.1769,0.0023,2543,36,2444,24,2624,21,93
KLR-6A.10,141,80,70,0.5,11.291,0.1585,0.4853,0.0046,0.1688,0.0022,2547,36,2550,24,2545,22,100
KLR-6A.11,282,101,112,0.4,7.1741,0.1126,0.2964,0.0036,0.1757,0.0023,2133,33,1673,21,2613,22,44
KLR-6A.13,507,266,96,0.19,11.5258,0.1618,0.4845,0.0047,0.1726,0.0022,2567,36,2547,25,2583,22,99
KLR-6A.14,765,291,451,0.59,7.4712,0.1265,0.3155,0.0044,0.172,0.0022,2170,37,1768,25,2577,22,54
KLR-6A.15,310,165,70,0.23,11.6671,0.1653,0.4983,0.0048,0.1698,0.0022,2578,37,2606,25,2556,22,98
KLR-6A.16,779,433,175,0.22,12.1162,0.1705,0.522,0.005,0.1683,0.0022,2613,37,2708,26,2541,22,94
KLR-6A.17,902,372,112,0.12,9.2373,0.1298,0.3905,0.0038,0.1716,0.0022,2362,33,2125,21,2573,22,79
KLR-6A.19,426,225,114,0.27,11.4269,0.1639,0.4784,0.0048,0.1732,0.0022,2559,37,2520,25,2589,22,97
KLR-6A.21,239,120,37,0.16,11.1,0.1557,0.473,0.0045,0.1702,0.0022,2532,36,2497,24,2560,22,97
KLR-6A.22,710,386,88,0.12,12.1041,0.1707,0.5167,0.005,0.1699,0.0022,2613,37,2685,26,2557,22,95
KLR-6A.23,380,186,72,0.19,10.6835,0.1496,0.4487,0.0043,0.1727,0.0022,2496,35,2390,23,2584,22,92
KLR-6A.24,1291,345,314,0.24,5.5712,0.0853,0.2269,0.0023,0.1779,0.0023,1912,29,1318,14,2633,22,0
KLR-6A.27,944,456,430,0.46,9.6207,0.15,0.4066,0.0049,0.1718,0.0022,2399,37,2199,27,2575,22,83
KLR-6A.28,1368,786,417,0.3,12.1536,0.1709,0.5127,0.0049,0.172,0.0022,2616,37,2668,25,2577,22,97
KLR-6A.30,1517,967,423,0.28,13.8921,0.1978,0.5795,0.0056,0.1739,0.0022,2742,39,2947,29,2596,22,88
KLR-6A.31,372,208,208,0.56,11.2748,0.1603,0.4727,0.0046,0.173,0.0022,2546,36,2496,24,2587,22,96
KLR-6A.32,1507,589,692,0.46,7.5578,0.1102,0.3149,0.003,0.1741,0.0024,2180,32,1765,17,2598,23,53
