Analysis,U,206Pb,U/Th,206Pb*,+/-,207Pb*,+/-,206Pb*,+/-,error,206Pb*,+/-,207Pb*,+/-,Concordance
,(ppm),204Pb,,207Pb*,(%),235U*,(%),238U,(%),corr.,238U*,(Ma),235U,(Ma),(%)
82PAW-H67-5,108,11960,4.5,20.5079,23,0.1227,23.4,0.0182,4.3,0.19,117,5,118,26,99
82PAW-H67-19,288,13182,2.8,21.2868,9.1,0.1191,9.4,0.0184,2.4,0.25,117,3,114,10,103
82PAW-H67-25,130,6891,3.7,20.5016,17.5,0.1249,18,0.0186,4.5,0.25,119,5,120,20,99
82PAW-H67-22,86,6621,4.2,17.9912,32.1,0.1428,32.5,0.0186,4.6,0.14,119,5,136,41,88
82PAW-H67-9,176,9935,3.7,20.0484,11.3,0.1287,11.6,0.0187,2.7,0.23,120,3,123,13,97
82PAW-H67-3C,71,3914,5.5,18.2084,29.1,0.1418,29.7,0.0187,6.3,0.21,120,7,135,38,89
82PAW-H67-24,92,6514,5,19.7055,34.3,0.1311,34.6,0.0187,4.2,0.12,120,5,125,41,96
82PAW-H67-2R,227,15745,4.6,21.3106,15.9,0.1214,16.2,0.0188,3.3,0.2,120,4,116,18,103
82PAW-H67-16,445,26397,5.1,20.4044,7.4,0.1268,7.9,0.0188,2.9,0.36,120,3,121,9,99
82PAW-H67-14,266,14942,3.7,21.0948,8.2,0.1227,8.9,0.0188,3.4,0.38,120,4,118,10,102
82PAW-H67-10,199,16149,4.3,19.0512,9.3,0.1364,9.9,0.0188,3.5,0.35,120,4,130,12,93
82PAW-H67-3R,313,20796,2.8,20.9448,4.1,0.1242,4.9,0.0189,2.7,0.55,120,3,119,6,101
82PAW-H67-15,174,11513,4.1,21.0864,15.2,0.1234,15.4,0.0189,2.5,0.16,121,3,118,17,102
82PAW-H67-11,283,30594,3.1,20.7824,10.3,0.1252,10.6,0.0189,2.7,0.25,121,3,120,12,101
82PAW-H67-8,95,5601,4.6,20.6818,22.2,0.1259,23.9,0.0189,8.8,0.37,121,10,120,27,100
82PAW-H67-7,163,6891,3.2,21.2531,18,0.1229,18.3,0.0189,3.2,0.17,121,4,118,20,103
82PAW-H67-13,163,20959,3.6,20.3388,11.2,0.1288,11.7,0.019,3.2,0.28,121,4,123,14,99
82PAW-H67-4,148,9186,4,20.8096,26.6,0.1262,27.1,0.019,5.2,0.19,122,6,121,31,101
82PAW-H67-6,211,14917,3.4,20.7014,13.9,0.1269,14.1,0.0191,2.4,0.17,122,3,121,16,100
82PAW-H67-12,228,27519,4.5,20.6437,8.5,0.1273,9.1,0.0191,3.3,0.37,122,4,122,10,100
82PAW-H67-23,220,40802,3.8,19.7137,12.2,0.1334,12.6,0.0191,3.1,0.24,122,4,127,15,96
82PAW-H67-17,59,4619,4.8,21.784,105.2,0.1209,105.4,0.0191,7.1,0.07,122,9,116,116,105
82PAW-H67-2C,138,14006,3.7,18.5755,13.4,0.142,13.6,0.0191,1.9,0.14,122,2,135,17,91
82PAW-H67-1C,81,5200,5,22.1462,31,0.1191,31.3,0.0191,4.6,0.15,122,6,114,34,107
82PAW-H67-21,153,21258,3.7,19.4194,8.3,0.1363,9,0.0192,3.5,0.39,123,4,130,11,94
82PAW-H67-20,308,20876,3.2,20.7811,7.1,0.1279,7.6,0.0193,2.7,0.36,123,3,122,9,101
82PAW-H67-1R,169,8152,5.1,21.8833,20.8,0.1228,21,0.0195,3.2,0.15,124,4,118,23,106
82PAW-H67-18,164,10987,3.1,23.4351,16.3,0.1157,16.7,0.0197,3.8,0.23,126,5,111,18,113
