Spot,U(ppm),Th(ppm),Pb(ppm),Th/U,f206(%),207Pb/206Pb,±1σ(%),207Pb/235U,±1σ(%),206Pb/238U,±1σ (%),t207/235(Ma),±1σ,t206/238(Ma),±1s
ZH-2-1@1,378,355,26,0.94,0.36,0.05423,1.39,0.35702,2.47,0.0504,1.5,316.9,4.7,313.5,8.6
ZH-2-1@4,318,202,20,0.635,0,0.05315,1.49,0.36737,2.12,0.0501,1.5,315.3,4.6,312.7,9.9
ZH-2-1@5,289,313,20,1.083,0.05,0.05336,1.59,0.35706,2.19,0.0485,1.5,305.5,4.5,310.7,9
ZH-2-1@6,188,143,12,0.757,0,0.05214,1.98,0.35496,2.49,0.0494,1.51,310.7,4.6,304.4,9
ZH-2-1@7,162,141,10,0.871,0,0.05374,2.13,0.35772,2.61,0.0483,1.51,303.9,4.5,298.6,10.2
ZH-2-1@8,401,724,32,1.806,0.17,0.05364,1.38,0.3543,2.24,0.0492,1.52,309.3,4.6,310.1,8.1
ZH-2-1@9,399,306,26,0.766,0.07,0.0524,1.37,0.35548,2.11,0.0497,1.51,312.6,4.6,322.5,9.1
ZH-2-1@10,392,319,25,0.814,0,0.05067,1.4,0.34336,2.05,0.0491,1.5,309.3,4.5,311.9,8.4
ZH-2-1@11,327,302,21,0.924,2.43,0.071,1.34,0.34753,4.21,0.0485,1.51,305.4,4.5,313,10.2
ZH-2-1@14,172,129,11,0.749,0,0.05433,2.04,0.36697,2.54,0.049,1.51,308.3,4.5,294.7,8.9
ZH-2-1@16,330,253,21,0.765,0.06,0.05319,1.48,0.35218,2.22,0.0484,1.54,304.9,4.6,301.2,9.3
